====
Starting job 9594869 at Fri 20 Feb 12:45:27 GMT 2026 for user dc-guan2.
Running on nodes: m8391
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
2: pk2_box_phmean
0: pk0_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.006658252080281576
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-02-20 12:45:40.305023 with 12 CPUs. 


Iter: 0it [00:00, ?it/s]
Iter: 0it [00:00, ?it/s, beta=0, calls=0, ESS=4000, logZ=0, logP=0, acc=0, steps=0, eff=0]
Iter: 0it [03:39, ?it/s, beta=0, calls=256, ESS=4000, logZ=0, logP=-5.2e+6, acc=1, steps=1, eff=1]
Iter: 1it [03:39, 219.40s/it, beta=0, calls=256, ESS=4000, logZ=0, logP=-5.2e+6, acc=1, steps=1, eff=1]
Iter: 1it [07:35, 219.40s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-9.38e+6, acc=1, steps=1, eff=1]
Iter: 2it [07:35, 229.12s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-9.38e+6, acc=1, steps=1, eff=1]
Iter: 2it [11:17, 229.12s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-3.67e+6, acc=1, steps=1, eff=1]
Iter: 3it [11:17, 225.93s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-3.67e+6, acc=1, steps=1, eff=1]
Iter: 3it [15:05, 225.93s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-8.32e+6, acc=1, steps=1, eff=1]
Iter: 4it [15:05, 226.85s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-8.32e+6, acc=1, steps=1, eff=1]
Iter: 4it [18:58, 226.85s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-4.54e+6, acc=1, steps=1, eff=1]
Iter: 5it [18:58, 228.83s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-4.54e+6, acc=1, steps=1, eff=1]
Iter: 5it [23:21, 228.83s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-7.08e+6, acc=1, steps=1, eff=1]
Iter: 6it [23:21, 240.61s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-7.08e+6, acc=1, steps=1, eff=1]
Iter: 6it [27:08, 240.61s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-6.08e+6, acc=1, steps=1, eff=1]
Iter: 7it [27:08, 236.15s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-6.08e+6, acc=1, steps=1, eff=1]
Iter: 7it [31:17, 236.15s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-4.76e+6, acc=1, steps=1, eff=1]
Iter: 8it [31:17, 240.33s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-4.76e+6, acc=1, steps=1, eff=1]
Iter: 8it [35:16, 240.33s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-1.18e+7, acc=1, steps=1, eff=1]
Iter: 9it [35:16, 239.86s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-1.18e+7, acc=1, steps=1, eff=1]
Iter: 9it [40:18, 239.86s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-3.4e+6, acc=1, steps=1, eff=1] 
Iter: 10it [40:18, 258.88s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-3.4e+6, acc=1, steps=1, eff=1]
Iter: 10it [45:03, 258.88s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-3.92e+6, acc=1, steps=1, eff=1]
Iter: 11it [45:03, 267.01s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-3.92e+6, acc=1, steps=1, eff=1]
Iter: 11it [49:58, 267.01s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-3.27e+6, acc=1, steps=1, eff=1]
Iter: 12it [49:58, 275.46s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-3.27e+6, acc=1, steps=1, eff=1]
Iter: 12it [54:44, 275.46s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-3.82e+6, acc=1, steps=1, eff=1]
Iter: 13it [54:44, 278.62s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-3.82e+6, acc=1, steps=1, eff=1]
Iter: 13it [59:20, 278.62s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-3.07e+6, acc=1, steps=1, eff=1]
Iter: 14it [59:20, 277.77s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-3.07e+6, acc=1, steps=1, eff=1]
Iter: 14it [1:04:22, 277.77s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-2.63e+6, acc=1, steps=1, eff=1]
Iter: 15it [1:04:22, 285.34s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-2.63e+6, acc=1, steps=1, eff=1]
Iter: 15it [1:09:11, 285.34s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-5.72e+6, acc=1, steps=1, eff=1]
Iter: 16it [1:09:11, 286.36s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-5.72e+6, acc=1, steps=1, eff=1]
Iter: 16it [1:13:46, 286.36s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-5.51e+6, acc=1, steps=1, eff=1]
Iter: 17it [1:13:46, 282.94s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-5.51e+6, acc=1, steps=1, eff=1]
Iter: 17it [1:18:27, 282.94s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-1.92e+7, acc=1, steps=1, eff=1]
Iter: 18it [1:18:27, 282.42s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-1.92e+7, acc=1, steps=1, eff=1]
Iter: 18it [1:23:33, 282.42s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-7.42e+6, acc=1, steps=1, eff=1]
Iter: 19it [1:23:33, 289.28s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-7.42e+6, acc=1, steps=1, eff=1]
Iter: 19it [1:28:29, 289.28s/it, beta=0, calls=5120, ESS=4000, logZ=0, logP=-2.51e+6, acc=1, steps=1, eff=1]
Iter: 20it [1:28:29, 291.56s/it, beta=0, calls=5120, ESS=4000, logZ=0, logP=-2.51e+6, acc=1, steps=1, eff=1]
Iter: 20it [1:33:16, 291.56s/it, beta=0, calls=5376, ESS=4000, logZ=0, logP=-2.85e+6, acc=1, steps=1, eff=1]
Iter: 21it [1:33:16, 290.10s/it, beta=0, calls=5376, ESS=4000, logZ=0, logP=-2.85e+6, acc=1, steps=1, eff=1]
Iter: 21it [1:38:29, 290.10s/it, beta=0, calls=5632, ESS=4000, logZ=0, logP=-5.59e+6, acc=1, steps=1, eff=1]
Iter: 22it [1:38:29, 296.83s/it, beta=0, calls=5632, ESS=4000, logZ=0, logP=-5.59e+6, acc=1, steps=1, eff=1]
Iter: 22it [1:43:18, 296.83s/it, beta=0, calls=5888, ESS=4000, logZ=0, logP=-6.2e+6, acc=1, steps=1, eff=1] 
Iter: 23it [1:43:18, 294.69s/it, beta=0, calls=5888, ESS=4000, logZ=0, logP=-6.2e+6, acc=1, steps=1, eff=1]
Iter: 23it [1:48:06, 294.69s/it, beta=0, calls=6144, ESS=4000, logZ=0, logP=-6.07e+6, acc=1, steps=1, eff=1]
Iter: 24it [1:48:06, 292.45s/it, beta=0, calls=6144, ESS=4000, logZ=0, logP=-6.07e+6, acc=1, steps=1, eff=1]
Iter: 24it [1:53:02, 292.45s/it, beta=0, calls=6400, ESS=4000, logZ=0, logP=-8.26e+6, acc=1, steps=1, eff=1]
Iter: 25it [1:53:02, 293.55s/it, beta=0, calls=6400, ESS=4000, logZ=0, logP=-8.26e+6, acc=1, steps=1, eff=1]
Iter: 25it [1:57:57, 293.55s/it, beta=0, calls=6656, ESS=4000, logZ=0, logP=-5.35e+6, acc=1, steps=1, eff=1]
Iter: 26it [1:57:57, 294.09s/it, beta=0, calls=6656, ESS=4000, logZ=0, logP=-5.35e+6, acc=1, steps=1, eff=1]
Iter: 26it [2:02:30, 294.09s/it, beta=0, calls=6912, ESS=4000, logZ=0, logP=-5.07e+6, acc=1, steps=1, eff=1]
Iter: 27it [2:02:30, 287.79s/it, beta=0, calls=6912, ESS=4000, logZ=0, logP=-5.07e+6, acc=1, steps=1, eff=1]
Iter: 27it [2:07:24, 287.79s/it, beta=0, calls=7168, ESS=4000, logZ=0, logP=-4.64e+6, acc=1, steps=1, eff=1]
Iter: 28it [2:07:24, 289.62s/it, beta=0, calls=7168, ESS=4000, logZ=0, logP=-4.64e+6, acc=1, steps=1, eff=1]
Iter: 28it [2:12:15, 289.62s/it, beta=0, calls=7424, ESS=4000, logZ=0, logP=-6.86e+6, acc=1, steps=1, eff=1]
Iter: 29it [2:12:15, 289.95s/it, beta=0, calls=7424, ESS=4000, logZ=0, logP=-6.86e+6, acc=1, steps=1, eff=1]
Iter: 29it [2:17:02, 289.95s/it, beta=0, calls=7680, ESS=4000, logZ=0, logP=-7.84e+6, acc=1, steps=1, eff=1]
Iter: 30it [2:17:02, 289.23s/it, beta=0, calls=7680, ESS=4000, logZ=0, logP=-7.84e+6, acc=1, steps=1, eff=1]
Iter: 31it [2:17:02, 289.23s/it, beta=7.15e-6, calls=7680, ESS=4020, logZ=-1.01, logP=-7.84e+6, acc=1, steps=1, eff=1]
Iter: 31it [2:23:20, 289.23s/it, beta=7.15e-6, calls=7936, ESS=4020, logZ=-1.01, logP=-6.56e+4, acc=0.578, steps=1, eff=1]
Iter: 31it [2:29:30, 289.23s/it, beta=7.15e-6, calls=8192, ESS=4020, logZ=-1.01, logP=-6.9e+4, acc=0.49, steps=2, eff=1]  
Iter: 31it [2:35:41, 289.23s/it, beta=7.15e-6, calls=8448, ESS=4020, logZ=-1.01, logP=-6.21e+4, acc=0.488, steps=3, eff=1]
Iter: 31it [2:41:59, 289.23s/it, beta=7.15e-6, calls=8704, ESS=4020, logZ=-1.01, logP=-6.38e+4, acc=0.46, steps=4, eff=1] 
Iter: 31it [2:48:12, 289.23s/it, beta=7.15e-6, calls=8960, ESS=4020, logZ=-1.01, logP=-6.06e+4, acc=0.437, steps=5, eff=1]
Iter: 31it [2:54:23, 289.23s/it, beta=7.15e-6, calls=9216, ESS=4020, logZ=-1.01, logP=-6.18e+4, acc=0.425, steps=6, eff=1]
Iter: 31it [3:00:36, 289.23s/it, beta=7.15e-6, calls=9472, ESS=4020, logZ=-1.01, logP=-5.95e+4, acc=0.431, steps=7, eff=1]
Iter: 31it [3:06:54, 289.23s/it, beta=7.15e-6, calls=9728, ESS=4020, logZ=-1.01, logP=-5.76e+4, acc=0.443, steps=8, eff=1]
Iter: 31it [3:12:59, 289.23s/it, beta=7.15e-6, calls=9984, ESS=4020, logZ=-1.01, logP=-6.21e+4, acc=0.451, steps=9, eff=1]
Iter: 31it [3:18:57, 289.23s/it, beta=7.15e-6, calls=10240, ESS=4020, logZ=-1.01, logP=-6.12e+4, acc=0.428, steps=10, eff=1]
Iter: 31it [3:25:17, 289.23s/it, beta=7.15e-6, calls=10496, ESS=4020, logZ=-1.01, logP=-6.28e+4, acc=0.449, steps=11, eff=1]
Iter: 31it [3:31:27, 289.23s/it, beta=7.15e-6, calls=10752, ESS=4020, logZ=-1.01, logP=-6.49e+4, acc=0.407, steps=12, eff=1]
Iter: 31it [3:37:49, 289.23s/it, beta=7.15e-6, calls=11008, ESS=4020, logZ=-1.01, logP=-6.6e+4, acc=0.39, steps=13, eff=1]  
Iter: 31it [3:43:57, 289.23s/it, beta=7.15e-6, calls=11264, ESS=4020, logZ=-1.01, logP=-6.92e+4, acc=0.391, steps=14, eff=1]
Iter: 31it [3:50:16, 289.23s/it, beta=7.15e-6, calls=11520, ESS=4020, logZ=-1.01, logP=-6.75e+4, acc=0.442, steps=15, eff=1]
Iter: 31it [3:56:28, 289.23s/it, beta=7.15e-6, calls=11776, ESS=4020, logZ=-1.01, logP=-6.79e+4, acc=0.369, steps=16, eff=1]
Iter: 32it [3:56:28, 1532.45s/it, beta=7.15e-6, calls=11776, ESS=4020, logZ=-1.01, logP=-6.79e+4, acc=0.369, steps=16, eff=1]
Iter: 32it [3:56:28, 1532.45s/it, beta=9.06e-6, calls=11776, ESS=4008, logZ=-1.13, logP=-6.79e+4, acc=0.369, steps=16, eff=1]
Iter: 32it [4:02:35, 1532.45s/it, beta=9.06e-6, calls=12032, ESS=4008, logZ=-1.13, logP=-6.06e+4, acc=0.536, steps=1, eff=1] 
Iter: 32it [4:08:50, 1532.45s/it, beta=9.06e-6, calls=12288, ESS=4008, logZ=-1.13, logP=-6.04e+4, acc=0.454, steps=2, eff=1]
Iter: 32it [4:15:07, 1532.45s/it, beta=9.06e-6, calls=12544, ESS=4008, logZ=-1.13, logP=-5.74e+4, acc=0.49, steps=3, eff=1] 
Iter: 32it [4:21:33, 1532.45s/it, beta=9.06e-6, calls=12800, ESS=4008, logZ=-1.13, logP=-5.77e+4, acc=0.471, steps=4, eff=1]
Iter: 32it [4:27:40, 1532.45s/it, beta=9.06e-6, calls=13056, ESS=4008, logZ=-1.13, logP=-5.82e+4, acc=0.443, steps=5, eff=1]
Iter: 32it [4:33:58, 1532.45s/it, beta=9.06e-6, calls=13312, ESS=4008, logZ=-1.13, logP=-5.42e+4, acc=0.456, steps=6, eff=1]
Iter: 32it [4:40:12, 1532.45s/it, beta=9.06e-6, calls=13568, ESS=4008, logZ=-1.13, logP=-5.32e+4, acc=0.415, steps=7, eff=1]
Iter: 32it [4:46:27, 1532.45s/it, beta=9.06e-6, calls=13824, ESS=4008, logZ=-1.13, logP=-5.62e+4, acc=0.455, steps=8, eff=1]
Iter: 32it [4:52:44, 1532.45s/it, beta=9.06e-6, calls=14080, ESS=4008, logZ=-1.13, logP=-5.68e+4, acc=0.436, steps=9, eff=1]
Iter: 32it [4:58:54, 1532.45s/it, beta=9.06e-6, calls=14336, ESS=4008, logZ=-1.13, logP=-5.6e+4, acc=0.411, steps=10, eff=1]
Iter: 32it [5:05:14, 1532.45s/it, beta=9.06e-6, calls=14592, ESS=4008, logZ=-1.13, logP=-5.8e+4, acc=0.397, steps=11, eff=1]
Iter: 32it [5:11:32, 1532.45s/it, beta=9.06e-6, calls=14848, ESS=4008, logZ=-1.13, logP=-5.49e+4, acc=0.46, steps=12, eff=1]
Iter: 32it [5:17:41, 1532.45s/it, beta=9.06e-6, calls=15104, ESS=4008, logZ=-1.13, logP=-5.97e+4, acc=0.441, steps=13, eff=1]
Iter: 32it [5:23:59, 1532.45s/it, beta=9.06e-6, calls=15360, ESS=4008, logZ=-1.13, logP=-5.93e+4, acc=0.423, steps=14, eff=1]
Iter: 32it [5:30:13, 1532.45s/it, beta=9.06e-6, calls=15616, ESS=4008, logZ=-1.13, logP=-5.97e+4, acc=0.398, steps=15, eff=1]
Iter: 33it [5:30:13, 2547.04s/it, beta=9.06e-6, calls=15616, ESS=4008, logZ=-1.13, logP=-5.97e+4, acc=0.398, steps=15, eff=1]
Iter: 33it [5:30:13, 2547.04s/it, beta=1.1e-5, calls=15616, ESS=4025, logZ=-1.23, logP=-5.97e+4, acc=0.398, steps=15, eff=1] 
