====
Starting job 9620030 at Tue 24 Feb 15:13:28 GMT 2026 for user dc-guan2.
Running on nodes: m8156
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
2: pk2_box_phmean
0: pk0_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.002903270721435547
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-02-24 15:13:33.600478 with 64 CPUs. 


Iter: 0it [00:00, ?it/s]
Iter: 0it [00:00, ?it/s, beta=0, calls=0, ESS=4000, logZ=0, logP=0, acc=0, steps=0, eff=0]
Iter: 0it [01:29, ?it/s, beta=0, calls=256, ESS=4000, logZ=0, logP=-5.4e+6, acc=1, steps=1, eff=1]
Iter: 1it [01:29, 89.02s/it, beta=0, calls=256, ESS=4000, logZ=0, logP=-5.4e+6, acc=1, steps=1, eff=1]
Iter: 1it [03:00, 89.02s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-7.13e+6, acc=1, steps=1, eff=1]
Iter: 2it [03:00, 90.75s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-7.13e+6, acc=1, steps=1, eff=1]
Iter: 2it [04:31, 90.75s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-8.02e+6, acc=1, steps=1, eff=1]
Iter: 3it [04:31, 90.61s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-8.02e+6, acc=1, steps=1, eff=1]
Iter: 3it [05:55, 90.61s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-6.18e+6, acc=1, steps=1, eff=1]
Iter: 4it [05:55, 87.97s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-6.18e+6, acc=1, steps=1, eff=1]
Iter: 4it [07:19, 87.97s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-2.72e+6, acc=1, steps=1, eff=1]
Iter: 5it [07:19, 86.57s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-2.72e+6, acc=1, steps=1, eff=1]
Iter: 5it [08:47, 86.57s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-8.65e+6, acc=1, steps=1, eff=1]
Iter: 6it [08:47, 87.15s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-8.65e+6, acc=1, steps=1, eff=1]
Iter: 6it [10:11, 87.15s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-1.23e+7, acc=1, steps=1, eff=1]
Iter: 7it [10:11, 86.09s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-1.23e+7, acc=1, steps=1, eff=1]
Iter: 7it [11:36, 86.09s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-3.59e+6, acc=1, steps=1, eff=1]
Iter: 8it [11:36, 85.83s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-3.59e+6, acc=1, steps=1, eff=1]
Iter: 8it [12:59, 85.83s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-5.8e+6, acc=1, steps=1, eff=1] 
Iter: 9it [12:59, 84.67s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-5.8e+6, acc=1, steps=1, eff=1]
Iter: 9it [14:13, 84.67s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-7.37e+6, acc=1, steps=1, eff=1]
Iter: 10it [14:13, 81.60s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-7.37e+6, acc=1, steps=1, eff=1]
Iter: 10it [15:33, 81.60s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-2.72e+6, acc=1, steps=1, eff=1]
Iter: 11it [15:33, 80.93s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-2.72e+6, acc=1, steps=1, eff=1]
Iter: 11it [16:52, 80.93s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-4.28e+6, acc=1, steps=1, eff=1]
Iter: 12it [16:52, 80.33s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-4.28e+6, acc=1, steps=1, eff=1]
Iter: 12it [18:05, 80.33s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-4.2e+6, acc=1, steps=1, eff=1] 
Iter: 13it [18:05, 78.37s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-4.2e+6, acc=1, steps=1, eff=1]
Iter: 13it [19:26, 78.37s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-5.43e+6, acc=1, steps=1, eff=1]
Iter: 14it [19:26, 79.17s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-5.43e+6, acc=1, steps=1, eff=1]
Iter: 14it [20:45, 79.17s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-8.6e+6, acc=1, steps=1, eff=1] 
Iter: 15it [20:45, 78.97s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-8.6e+6, acc=1, steps=1, eff=1]
Iter: 15it [22:05, 78.97s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-4.73e+6, acc=1, steps=1, eff=1]
Iter: 16it [22:05, 79.27s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-4.73e+6, acc=1, steps=1, eff=1]
Iter: 16it [23:29, 79.27s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-2.9e+6, acc=1, steps=1, eff=1] 
Iter: 17it [23:29, 80.69s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-2.9e+6, acc=1, steps=1, eff=1]
Iter: 17it [24:51, 80.69s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-6.47e+6, acc=1, steps=1, eff=1]
Iter: 18it [24:51, 81.21s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-6.47e+6, acc=1, steps=1, eff=1]
Iter: 18it [26:09, 81.21s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-1.02e+7, acc=1, steps=1, eff=1]
Iter: 19it [26:09, 80.22s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-1.02e+7, acc=1, steps=1, eff=1]
Iter: 19it [27:28, 80.22s/it, beta=0, calls=5120, ESS=4000, logZ=0, logP=-5.32e+6, acc=1, steps=1, eff=1]
Iter: 20it [27:28, 79.75s/it, beta=0, calls=5120, ESS=4000, logZ=0, logP=-5.32e+6, acc=1, steps=1, eff=1]
Iter: 20it [28:51, 79.75s/it, beta=0, calls=5376, ESS=4000, logZ=0, logP=-5.11e+6, acc=1, steps=1, eff=1]
Iter: 21it [28:51, 80.83s/it, beta=0, calls=5376, ESS=4000, logZ=0, logP=-5.11e+6, acc=1, steps=1, eff=1]
Iter: 21it [30:13, 80.83s/it, beta=0, calls=5632, ESS=4000, logZ=0, logP=-8.27e+6, acc=1, steps=1, eff=1]
Iter: 22it [30:13, 81.20s/it, beta=0, calls=5632, ESS=4000, logZ=0, logP=-8.27e+6, acc=1, steps=1, eff=1]
Iter: 22it [31:38, 81.20s/it, beta=0, calls=5888, ESS=4000, logZ=0, logP=-2e+7, acc=1, steps=1, eff=1]   
Iter: 23it [31:38, 82.16s/it, beta=0, calls=5888, ESS=4000, logZ=0, logP=-2e+7, acc=1, steps=1, eff=1]
Iter: 23it [33:03, 82.16s/it, beta=0, calls=6144, ESS=4000, logZ=0, logP=-5.16e+6, acc=1, steps=1, eff=1]
Iter: 24it [33:03, 83.07s/it, beta=0, calls=6144, ESS=4000, logZ=0, logP=-5.16e+6, acc=1, steps=1, eff=1]
Iter: 24it [34:27, 83.07s/it, beta=0, calls=6400, ESS=4000, logZ=0, logP=-1.14e+7, acc=1, steps=1, eff=1]
Iter: 25it [34:27, 83.25s/it, beta=0, calls=6400, ESS=4000, logZ=0, logP=-1.14e+7, acc=1, steps=1, eff=1]
Iter: 25it [35:49, 83.25s/it, beta=0, calls=6656, ESS=4000, logZ=0, logP=-3.29e+6, acc=1, steps=1, eff=1]
Iter: 26it [35:49, 83.02s/it, beta=0, calls=6656, ESS=4000, logZ=0, logP=-3.29e+6, acc=1, steps=1, eff=1]
Iter: 26it [37:22, 83.02s/it, beta=0, calls=6912, ESS=4000, logZ=0, logP=-5.13e+6, acc=1, steps=1, eff=1]
Iter: 27it [37:22, 85.90s/it, beta=0, calls=6912, ESS=4000, logZ=0, logP=-5.13e+6, acc=1, steps=1, eff=1]
Iter: 27it [38:44, 85.90s/it, beta=0, calls=7168, ESS=4000, logZ=0, logP=-5.67e+6, acc=1, steps=1, eff=1]
Iter: 28it [38:44, 84.84s/it, beta=0, calls=7168, ESS=4000, logZ=0, logP=-5.67e+6, acc=1, steps=1, eff=1]
Iter: 28it [40:09, 84.84s/it, beta=0, calls=7424, ESS=4000, logZ=0, logP=-7.6e+6, acc=1, steps=1, eff=1] 
Iter: 29it [40:09, 84.92s/it, beta=0, calls=7424, ESS=4000, logZ=0, logP=-7.6e+6, acc=1, steps=1, eff=1]
Iter: 29it [41:29, 84.92s/it, beta=0, calls=7680, ESS=4000, logZ=0, logP=-5.24e+6, acc=1, steps=1, eff=1]
Iter: 30it [41:29, 83.37s/it, beta=0, calls=7680, ESS=4000, logZ=0, logP=-5.24e+6, acc=1, steps=1, eff=1]
Iter: 31it [41:29, 83.37s/it, beta=7.63e-6, calls=7680, ESS=4018, logZ=-1.02, logP=-5.24e+6, acc=1, steps=1, eff=1]
Iter: 31it [43:34, 83.37s/it, beta=7.63e-6, calls=7936, ESS=4018, logZ=-1.02, logP=-6.21e+4, acc=0.545, steps=1, eff=1]
Iter: 31it [45:21, 83.37s/it, beta=7.63e-6, calls=8192, ESS=4018, logZ=-1.02, logP=-6.41e+4, acc=0.5, steps=2, eff=1]  
Iter: 31it [47:06, 83.37s/it, beta=7.63e-6, calls=8448, ESS=4018, logZ=-1.02, logP=-6.32e+4, acc=0.446, steps=3, eff=1]
Iter: 31it [48:53, 83.37s/it, beta=7.63e-6, calls=8704, ESS=4018, logZ=-1.02, logP=-5.5e+4, acc=0.415, steps=4, eff=1] 
Iter: 31it [50:38, 83.37s/it, beta=7.63e-6, calls=8960, ESS=4018, logZ=-1.02, logP=-5.72e+4, acc=0.446, steps=5, eff=1]
Iter: 31it [52:20, 83.37s/it, beta=7.63e-6, calls=9216, ESS=4018, logZ=-1.02, logP=-5.86e+4, acc=0.435, steps=6, eff=1]
Iter: 31it [54:07, 83.37s/it, beta=7.63e-6, calls=9472, ESS=4018, logZ=-1.02, logP=-5.64e+4, acc=0.439, steps=7, eff=1]
Iter: 31it [55:51, 83.37s/it, beta=7.63e-6, calls=9728, ESS=4018, logZ=-1.02, logP=-5.6e+4, acc=0.43, steps=8, eff=1]  
Iter: 31it [57:36, 83.37s/it, beta=7.63e-6, calls=9984, ESS=4018, logZ=-1.02, logP=-5.31e+4, acc=0.443, steps=9, eff=1]
Iter: 31it [59:20, 83.37s/it, beta=7.63e-6, calls=10240, ESS=4018, logZ=-1.02, logP=-5.45e+4, acc=0.42, steps=10, eff=1]
Iter: 31it [1:01:03, 83.37s/it, beta=7.63e-6, calls=10496, ESS=4018, logZ=-1.02, logP=-5.67e+4, acc=0.42, steps=11, eff=1]
Iter: 31it [1:02:43, 83.37s/it, beta=7.63e-6, calls=10752, ESS=4018, logZ=-1.02, logP=-5.64e+4, acc=0.41, steps=12, eff=1]
Iter: 31it [1:04:27, 83.37s/it, beta=7.63e-6, calls=11008, ESS=4018, logZ=-1.02, logP=-6.21e+4, acc=0.381, steps=13, eff=1]
