====
Starting job 9629383 at Wed 25 Feb 13:37:31 GMT 2026 for user dc-guan2.
Running on nodes: m8163
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
0: pk0_box_phmean
2: pk2_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.006905003388722738
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-02-25 13:37:45.897677 with 128 CPUs. 


Iter: 0it [00:00, ?it/s]
Iter: 0it [00:00, ?it/s, beta=0, calls=0, ESS=4000, logZ=0, logP=0, acc=0, steps=0, eff=0]
Iter: 0it [00:41, ?it/s, beta=0, calls=256, ESS=4000, logZ=0, logP=-1.44e+7, acc=1, steps=1, eff=1]
Iter: 1it [00:41, 41.74s/it, beta=0, calls=256, ESS=4000, logZ=0, logP=-1.44e+7, acc=1, steps=1, eff=1]
Iter: 1it [01:19, 41.74s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-2.78e+7, acc=1, steps=1, eff=1]
Iter: 2it [01:19, 39.46s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-2.78e+7, acc=1, steps=1, eff=1]
Iter: 2it [02:00, 39.46s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-2.91e+7, acc=1, steps=1, eff=1]
Iter: 3it [02:00, 40.01s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-2.91e+7, acc=1, steps=1, eff=1]
Iter: 3it [02:40, 40.01s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-1.71e+7, acc=1, steps=1, eff=1]
Iter: 4it [02:40, 39.97s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-1.71e+7, acc=1, steps=1, eff=1]
Iter: 4it [03:21, 39.97s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-1.78e+7, acc=1, steps=1, eff=1]
Iter: 5it [03:21, 40.49s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-1.78e+7, acc=1, steps=1, eff=1]
Iter: 5it [04:01, 40.49s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-1.63e+7, acc=1, steps=1, eff=1]
Iter: 6it [04:01, 40.36s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-1.63e+7, acc=1, steps=1, eff=1]
Iter: 6it [04:43, 40.36s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-7.89e+6, acc=1, steps=1, eff=1]
Iter: 7it [04:43, 40.71s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-7.89e+6, acc=1, steps=1, eff=1]
Iter: 7it [05:22, 40.71s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-1.15e+7, acc=1, steps=1, eff=1]
Iter: 8it [05:22, 40.42s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-1.15e+7, acc=1, steps=1, eff=1]
Iter: 8it [06:03, 40.42s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-3.06e+7, acc=1, steps=1, eff=1]
Iter: 9it [06:03, 40.31s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-3.06e+7, acc=1, steps=1, eff=1]
Iter: 9it [06:42, 40.31s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-2.02e+7, acc=1, steps=1, eff=1]
Iter: 10it [06:42, 40.13s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-2.02e+7, acc=1, steps=1, eff=1]
Iter: 10it [07:22, 40.13s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-2.29e+7, acc=1, steps=1, eff=1]
Iter: 11it [07:22, 39.91s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-2.29e+7, acc=1, steps=1, eff=1]
Iter: 11it [08:00, 39.91s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-1.66e+7, acc=1, steps=1, eff=1]
Iter: 12it [08:00, 39.57s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-1.66e+7, acc=1, steps=1, eff=1]
Iter: 12it [08:40, 39.57s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-2.52e+7, acc=1, steps=1, eff=1]
Iter: 13it [08:40, 39.70s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-2.52e+7, acc=1, steps=1, eff=1]
Iter: 13it [09:19, 39.70s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-1.7e+7, acc=1, steps=1, eff=1] 
Iter: 14it [09:19, 39.44s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-1.7e+7, acc=1, steps=1, eff=1]
Iter: 14it [10:00, 39.44s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-3.7e+7, acc=1, steps=1, eff=1]
Iter: 15it [10:00, 39.72s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-3.7e+7, acc=1, steps=1, eff=1]
Iter: 15it [10:37, 39.72s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-4.04e+7, acc=1, steps=1, eff=1]
Iter: 16it [10:37, 39.04s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-4.04e+7, acc=1, steps=1, eff=1]
Iter: 16it [11:18, 39.04s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-1.4e+7, acc=1, steps=1, eff=1] 
Iter: 17it [11:18, 39.54s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-1.4e+7, acc=1, steps=1, eff=1]
Iter: 17it [11:56, 39.54s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-4.75e+7, acc=1, steps=1, eff=1]
Iter: 18it [11:56, 39.21s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-4.75e+7, acc=1, steps=1, eff=1]
Iter: 18it [12:34, 39.21s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-2.03e+7, acc=1, steps=1, eff=1]
Iter: 19it [12:34, 38.65s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-2.03e+7, acc=1, steps=1, eff=1]
