====
Starting job 9714176 at Mon  2 Mar 14:17:29 GMT 2026 for user dc-guan2.
Running on nodes: m8159
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
2: pk2_box_phmean
0: pk0_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.006990309556325277
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-03-02 14:17:43.220962 with 72 CPUs. 

Resuming from /cosma/home/dp322/dc-guan2/folps/pipeline/results/LRG/z0.8/p0p2b0_noresc_secondtest_200.state

Iter: 200it [00:00, ?it/s]
Iter: 200it [00:00, ?it/s, beta=0.358, calls=556288, ESS=3.99e+3, logZ=-28.3, logP=-46.9, acc=0.488, steps=10, eff=1]
Iter: 201it [00:00,  3.82it/s, beta=0.358, calls=556288, ESS=3.99e+3, logZ=-28.3, logP=-46.9, acc=0.488, steps=10, eff=1]
Iter: 201it [00:03,  3.82it/s, beta=0.37, calls=556288, ESS=4009, logZ=-28.5, logP=-46.9, acc=0.488, steps=10, eff=1]    
Iter: 201it [00:11,  3.82it/s, beta=0.37, calls=556544, ESS=4009, logZ=-28.5, logP=-46.1, acc=0.548, steps=1, eff=1] 
Iter: 201it [00:15,  3.82it/s, beta=0.37, calls=556800, ESS=4009, logZ=-28.5, logP=-46.2, acc=0.479, steps=2, eff=1]
Iter: 201it [00:20,  3.82it/s, beta=0.37, calls=557056, ESS=4009, logZ=-28.5, logP=-45.9, acc=0.485, steps=3, eff=1]
Iter: 201it [00:25,  3.82it/s, beta=0.37, calls=557312, ESS=4009, logZ=-28.5, logP=-45.9, acc=0.457, steps=4, eff=1]
Iter: 201it [00:29,  3.82it/s, beta=0.37, calls=557568, ESS=4009, logZ=-28.5, logP=-46, acc=0.473, steps=5, eff=1]  
Iter: 201it [00:34,  3.82it/s, beta=0.37, calls=557824, ESS=4009, logZ=-28.5, logP=-45.9, acc=0.443, steps=6, eff=1]
Iter: 201it [00:39,  3.82it/s, beta=0.37, calls=558080, ESS=4009, logZ=-28.5, logP=-45.7, acc=0.433, steps=7, eff=1]
Iter: 201it [00:43,  3.82it/s, beta=0.37, calls=558336, ESS=4009, logZ=-28.5, logP=-45.6, acc=0.438, steps=8, eff=1]
Iter: 201it [00:48,  3.82it/s, beta=0.37, calls=558592, ESS=4009, logZ=-28.5, logP=-45.8, acc=0.465, steps=9, eff=1]
Iter: 201it [00:53,  3.82it/s, beta=0.37, calls=558848, ESS=4009, logZ=-28.5, logP=-45.8, acc=0.441, steps=10, eff=1]
Iter: 201it [00:57,  3.82it/s, beta=0.37, calls=559104, ESS=4009, logZ=-28.5, logP=-46.1, acc=0.431, steps=11, eff=1]
Iter: 201it [01:02,  3.82it/s, beta=0.37, calls=559360, ESS=4009, logZ=-28.5, logP=-46.5, acc=0.421, steps=12, eff=1]
Iter: 201it [01:06,  3.82it/s, beta=0.37, calls=559616, ESS=4009, logZ=-28.5, logP=-46.5, acc=0.423, steps=13, eff=1]
Iter: 201it [01:11,  3.82it/s, beta=0.37, calls=559872, ESS=4009, logZ=-28.5, logP=-46.4, acc=0.459, steps=14, eff=1]
Iter: 201it [01:16,  3.82it/s, beta=0.37, calls=560128, ESS=4009, logZ=-28.5, logP=-46.3, acc=0.426, steps=15, eff=1]
Iter: 201it [01:20,  3.82it/s, beta=0.37, calls=560384, ESS=4009, logZ=-28.5, logP=-45.9, acc=0.459, steps=16, eff=1]
Iter: 202it [01:21, 47.63s/it, beta=0.37, calls=560384, ESS=4009, logZ=-28.5, logP=-45.9, acc=0.459, steps=16, eff=1]
Iter: 202it [01:23, 47.63s/it, beta=0.385, calls=560384, ESS=3990, logZ=-28.8, logP=-45.9, acc=0.459, steps=16, eff=1]
Iter: 202it [01:28, 47.63s/it, beta=0.385, calls=560640, ESS=3990, logZ=-28.8, logP=-45.5, acc=0.514, steps=1, eff=1] 
Iter: 202it [01:33, 47.63s/it, beta=0.385, calls=560896, ESS=3990, logZ=-28.8, logP=-45.8, acc=0.496, steps=2, eff=1]
Iter: 202it [01:37, 47.63s/it, beta=0.385, calls=561152, ESS=3990, logZ=-28.8, logP=-45.9, acc=0.506, steps=3, eff=1]
Iter: 202it [01:42, 47.63s/it, beta=0.385, calls=561408, ESS=3990, logZ=-28.8, logP=-46.1, acc=0.522, steps=4, eff=1]
Iter: 202it [01:47, 47.63s/it, beta=0.385, calls=561664, ESS=3990, logZ=-28.8, logP=-46, acc=0.493, steps=5, eff=1]  
Iter: 202it [01:51, 47.63s/it, beta=0.385, calls=561920, ESS=3990, logZ=-28.8, logP=-45.8, acc=0.502, steps=6, eff=1]
Iter: 202it [01:56, 47.63s/it, beta=0.385, calls=562176, ESS=3990, logZ=-28.8, logP=-45.6, acc=0.494, steps=7, eff=1]
Iter: 202it [02:01, 47.63s/it, beta=0.385, calls=562432, ESS=3990, logZ=-28.8, logP=-45.9, acc=0.438, steps=8, eff=1]
Iter: 202it [02:05, 47.63s/it, beta=0.385, calls=562688, ESS=3990, logZ=-28.8, logP=-46.1, acc=0.426, steps=9, eff=1]
Iter: 203it [02:06, 46.45s/it, beta=0.385, calls=562688, ESS=3990, logZ=-28.8, logP=-46.1, acc=0.426, steps=9, eff=1]
Iter: 203it [02:08, 46.45s/it, beta=0.4, calls=562688, ESS=3982, logZ=-29, logP=-46.1, acc=0.426, steps=9, eff=1]    
Iter: 203it [02:47, 46.45s/it, beta=0.4, calls=562944, ESS=3982, logZ=-29, logP=-46, acc=0.555, steps=1, eff=1]  
Iter: 203it [02:51, 46.45s/it, beta=0.4, calls=563200, ESS=3982, logZ=-29, logP=-46, acc=0.468, steps=2, eff=1]
Iter: 203it [02:56, 46.45s/it, beta=0.4, calls=563456, ESS=3982, logZ=-29, logP=-45.6, acc=0.521, steps=3, eff=1]
Iter: 203it [03:01, 46.45s/it, beta=0.4, calls=563712, ESS=3982, logZ=-29, logP=-45.4, acc=0.498, steps=4, eff=1]
Iter: 203it [03:05, 46.45s/it, beta=0.4, calls=563968, ESS=3982, logZ=-29, logP=-45.3, acc=0.516, steps=5, eff=1]
Iter: 203it [03:10, 46.45s/it, beta=0.4, calls=564224, ESS=3982, logZ=-29, logP=-44.9, acc=0.443, steps=6, eff=1]
Iter: 203it [03:15, 46.45s/it, beta=0.4, calls=564480, ESS=3982, logZ=-29, logP=-44.8, acc=0.465, steps=7, eff=1]
Iter: 203it [03:19, 46.45s/it, beta=0.4, calls=564736, ESS=3982, logZ=-29, logP=-45.1, acc=0.465, steps=8, eff=1]
Iter: 203it [03:24, 46.45s/it, beta=0.4, calls=564992, ESS=3982, logZ=-29, logP=-45.1, acc=0.44, steps=9, eff=1] 
Iter: 203it [03:28, 46.45s/it, beta=0.4, calls=565248, ESS=3982, logZ=-29, logP=-45.1, acc=0.472, steps=10, eff=1]
Iter: 203it [03:33, 46.45s/it, beta=0.4, calls=565504, ESS=3982, logZ=-29, logP=-44.8, acc=0.412, steps=11, eff=1]
Iter: 203it [03:38, 46.45s/it, beta=0.4, calls=565760, ESS=3982, logZ=-29, logP=-44.7, acc=0.448, steps=12, eff=1]
Iter: 203it [03:42, 46.45s/it, beta=0.4, calls=566016, ESS=3982, logZ=-29, logP=-44.8, acc=0.416, steps=13, eff=1]
Iter: 203it [03:47, 46.45s/it, beta=0.4, calls=566272, ESS=3982, logZ=-29, logP=-45, acc=0.447, steps=14, eff=1]  
