====
Starting job 9732786 at Mon  2 Mar 17:22:13 GMT 2026 for user dc-guan2.
Running on nodes: m8504
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
0: pk0_box_phmean
2: pk2_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.0024939060211181642
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-03-02 17:22:17.688319 with 72 CPUs. 


Iter: 0it [00:00, ?it/s]
Iter: 0it [00:00, ?it/s, beta=0, calls=0, ESS=4000, logZ=0, logP=0, acc=0, steps=0, eff=0]
Iter: 0it [00:06, ?it/s, beta=0, calls=256, ESS=4000, logZ=0, logP=-6.76e+6, acc=1, steps=1, eff=1]
Iter: 1it [00:06,  6.11s/it, beta=0, calls=256, ESS=4000, logZ=0, logP=-6.76e+6, acc=1, steps=1, eff=1]
Iter: 1it [00:11,  6.11s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-3.61e+6, acc=1, steps=1, eff=1]
Iter: 2it [00:11,  5.62s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-3.61e+6, acc=1, steps=1, eff=1]
Iter: 2it [00:16,  5.62s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-8.93e+6, acc=1, steps=1, eff=1]
Iter: 3it [00:16,  5.47s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-8.93e+6, acc=1, steps=1, eff=1]
Iter: 3it [00:22,  5.47s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-1.32e+7, acc=1, steps=1, eff=1]
Iter: 4it [00:22,  5.43s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-1.32e+7, acc=1, steps=1, eff=1]
Iter: 4it [00:27,  5.43s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-8.86e+6, acc=1, steps=1, eff=1]
Iter: 5it [00:27,  5.38s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-8.86e+6, acc=1, steps=1, eff=1]
Iter: 5it [00:32,  5.38s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-1.19e+7, acc=1, steps=1, eff=1]
Iter: 6it [00:32,  5.32s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-1.19e+7, acc=1, steps=1, eff=1]
Iter: 6it [00:37,  5.32s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-4.44e+6, acc=1, steps=1, eff=1]
Iter: 7it [00:37,  5.28s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-4.44e+6, acc=1, steps=1, eff=1]
Iter: 7it [00:42,  5.28s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-6.54e+6, acc=1, steps=1, eff=1]
Iter: 8it [00:42,  5.20s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-6.54e+6, acc=1, steps=1, eff=1]
Iter: 8it [00:47,  5.20s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-7.88e+6, acc=1, steps=1, eff=1]
Iter: 9it [00:47,  5.20s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-7.88e+6, acc=1, steps=1, eff=1]
Iter: 9it [00:53,  5.20s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-1.65e+7, acc=1, steps=1, eff=1]
Iter: 10it [00:53,  5.23s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-1.65e+7, acc=1, steps=1, eff=1]
Iter: 10it [00:58,  5.23s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-5.47e+6, acc=1, steps=1, eff=1]
Iter: 11it [00:58,  5.22s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-5.47e+6, acc=1, steps=1, eff=1]
Iter: 11it [01:03,  5.22s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-1.74e+7, acc=1, steps=1, eff=1]
Iter: 12it [01:03,  5.21s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-1.74e+7, acc=1, steps=1, eff=1]
Iter: 12it [01:08,  5.21s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-9.2e+6, acc=1, steps=1, eff=1] 
Iter: 13it [01:08,  5.23s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-9.2e+6, acc=1, steps=1, eff=1]
Iter: 13it [01:14,  5.23s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-1.66e+7, acc=1, steps=1, eff=1]
Iter: 14it [01:14,  5.20s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-1.66e+7, acc=1, steps=1, eff=1]
Iter: 14it [01:19,  5.20s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-8.09e+6, acc=1, steps=1, eff=1]
Iter: 15it [01:19,  5.22s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-8.09e+6, acc=1, steps=1, eff=1]
Iter: 15it [01:24,  5.22s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-2.12e+7, acc=1, steps=1, eff=1]
Iter: 16it [01:24,  5.21s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-2.12e+7, acc=1, steps=1, eff=1]
Iter: 16it [01:30,  5.21s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-8.78e+6, acc=1, steps=1, eff=1]
Iter: 17it [01:30,  5.30s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-8.78e+6, acc=1, steps=1, eff=1]
Iter: 17it [01:35,  5.30s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-6.38e+6, acc=1, steps=1, eff=1]
Iter: 18it [01:35,  5.23s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-6.38e+6, acc=1, steps=1, eff=1]
Iter: 18it [01:40,  5.23s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-1.05e+7, acc=1, steps=1, eff=1]
Iter: 19it [01:40,  5.31s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-1.05e+7, acc=1, steps=1, eff=1]
Iter: 19it [01:46,  5.31s/it, beta=0, calls=5120, ESS=4000, logZ=0, logP=-6.5e+6, acc=1, steps=1, eff=1] 
Iter: 20it [01:46,  5.35s/it, beta=0, calls=5120, ESS=4000, logZ=0, logP=-6.5e+6, acc=1, steps=1, eff=1]
Iter: 20it [01:51,  5.35s/it, beta=0, calls=5376, ESS=4000, logZ=0, logP=-8.53e+6, acc=1, steps=1, eff=1]
Iter: 21it [01:51,  5.36s/it, beta=0, calls=5376, ESS=4000, logZ=0, logP=-8.53e+6, acc=1, steps=1, eff=1]
Iter: 21it [01:56,  5.36s/it, beta=0, calls=5632, ESS=4000, logZ=0, logP=-4.2e+6, acc=1, steps=1, eff=1] 
Iter: 22it [01:56,  5.39s/it, beta=0, calls=5632, ESS=4000, logZ=0, logP=-4.2e+6, acc=1, steps=1, eff=1]
