====
Starting job 9772865 at Tue  3 Mar 22:30:30 GMT 2026 for user dc-guan2.
Running on nodes: m8517
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
0: pk0_box_phmean
2: pk2_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.006884717941284179
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-03-03 22:30:44.225045 with 72 CPUs. 


Iter: 0it [00:00, ?it/s]
Iter: 0it [00:00, ?it/s, beta=0, calls=0, ESS=4000, logZ=0, logP=0, acc=0, steps=0, eff=0]
Iter: 0it [00:06, ?it/s, beta=0, calls=256, ESS=4000, logZ=0, logP=-1.07e+7, acc=1, steps=1, eff=1]
Iter: 1it [00:06,  6.11s/it, beta=0, calls=256, ESS=4000, logZ=0, logP=-1.07e+7, acc=1, steps=1, eff=1]
Iter: 1it [00:11,  6.11s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-1.04e+7, acc=1, steps=1, eff=1]
Iter: 2it [00:11,  5.65s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-1.04e+7, acc=1, steps=1, eff=1]
Iter: 2it [00:16,  5.65s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-3.95e+6, acc=1, steps=1, eff=1]
Iter: 3it [00:16,  5.23s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-3.95e+6, acc=1, steps=1, eff=1]
Iter: 3it [00:21,  5.23s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-5.58e+6, acc=1, steps=1, eff=1]
Iter: 4it [00:21,  5.30s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-5.58e+6, acc=1, steps=1, eff=1]
Iter: 4it [00:26,  5.30s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-8.3e+6, acc=1, steps=1, eff=1] 
Iter: 5it [00:26,  5.25s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-8.3e+6, acc=1, steps=1, eff=1]
Iter: 5it [00:32,  5.25s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-9.46e+6, acc=1, steps=1, eff=1]
Iter: 6it [00:32,  5.32s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-9.46e+6, acc=1, steps=1, eff=1]
Iter: 6it [00:37,  5.32s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-9.08e+6, acc=1, steps=1, eff=1]
Iter: 7it [00:37,  5.35s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-9.08e+6, acc=1, steps=1, eff=1]
Iter: 7it [00:42,  5.35s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-7.24e+6, acc=1, steps=1, eff=1]
Iter: 8it [00:42,  5.36s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-7.24e+6, acc=1, steps=1, eff=1]
Iter: 8it [00:48,  5.36s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-6.48e+6, acc=1, steps=1, eff=1]
Iter: 9it [00:48,  5.35s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-6.48e+6, acc=1, steps=1, eff=1]
Iter: 9it [00:53,  5.35s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-7.05e+6, acc=1, steps=1, eff=1]
Iter: 10it [00:53,  5.35s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-7.05e+6, acc=1, steps=1, eff=1]
Iter: 10it [00:58,  5.35s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-6.23e+6, acc=1, steps=1, eff=1]
Iter: 11it [00:58,  5.33s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-6.23e+6, acc=1, steps=1, eff=1]
Iter: 11it [01:04,  5.33s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-1.36e+7, acc=1, steps=1, eff=1]
Iter: 12it [01:04,  5.34s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-1.36e+7, acc=1, steps=1, eff=1]
Iter: 12it [01:09,  5.34s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-1.1e+7, acc=1, steps=1, eff=1] 
Iter: 13it [01:09,  5.31s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-1.1e+7, acc=1, steps=1, eff=1]
Iter: 13it [01:15,  5.31s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-7.68e+6, acc=1, steps=1, eff=1]
Iter: 14it [01:15,  5.35s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-7.68e+6, acc=1, steps=1, eff=1]
Iter: 14it [01:20,  5.35s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-1.54e+7, acc=1, steps=1, eff=1]
Iter: 15it [01:20,  5.37s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-1.54e+7, acc=1, steps=1, eff=1]
Iter: 15it [01:25,  5.37s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-1.56e+7, acc=1, steps=1, eff=1]
Iter: 16it [01:25,  5.32s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-1.56e+7, acc=1, steps=1, eff=1]
Iter: 16it [01:30,  5.32s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-8.98e+6, acc=1, steps=1, eff=1]
Iter: 17it [01:30,  5.29s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-8.98e+6, acc=1, steps=1, eff=1]
Iter: 17it [01:36,  5.29s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-6.15e+6, acc=1, steps=1, eff=1]
Iter: 18it [01:36,  5.30s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-6.15e+6, acc=1, steps=1, eff=1]
Iter: 18it [01:40,  5.30s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-1.81e+7, acc=1, steps=1, eff=1]
Iter: 19it [01:40,  5.14s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-1.81e+7, acc=1, steps=1, eff=1]
