====
Starting job 9784757 at Wed  4 Mar 13:04:47 GMT 2026 for user dc-guan2.
Running on nodes: m8458
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
2: pk2_box_phmean
0: pk0_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.006972912947336833
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-03-04 13:05:00.830040 with 72 CPUs. 


Iter: 0it [00:00, ?it/s]
Iter: 0it [00:00, ?it/s, beta=0, calls=0, ESS=4000, logZ=0, logP=0, acc=0, steps=0, eff=0]
Iter: 0it [00:06, ?it/s, beta=0, calls=256, ESS=4000, logZ=0, logP=-1.04e+7, acc=1, steps=1, eff=1]
Iter: 1it [00:06,  6.65s/it, beta=0, calls=256, ESS=4000, logZ=0, logP=-1.04e+7, acc=1, steps=1, eff=1]
Iter: 1it [00:11,  6.65s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-3.56e+6, acc=1, steps=1, eff=1]
Iter: 2it [00:11,  5.82s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-3.56e+6, acc=1, steps=1, eff=1]
Iter: 2it [00:17,  5.82s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-5.14e+6, acc=1, steps=1, eff=1]
Iter: 3it [00:17,  5.78s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-5.14e+6, acc=1, steps=1, eff=1]
Iter: 3it [00:22,  5.78s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-7.15e+6, acc=1, steps=1, eff=1]
Iter: 4it [00:22,  5.61s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-7.15e+6, acc=1, steps=1, eff=1]
Iter: 4it [00:28,  5.61s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-4.57e+6, acc=1, steps=1, eff=1]
Iter: 5it [00:28,  5.54s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-4.57e+6, acc=1, steps=1, eff=1]
Iter: 5it [00:33,  5.54s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-4.01e+6, acc=1, steps=1, eff=1]
Iter: 6it [00:33,  5.44s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-4.01e+6, acc=1, steps=1, eff=1]
Iter: 6it [00:38,  5.44s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-8.66e+6, acc=1, steps=1, eff=1]
Iter: 7it [00:38,  5.38s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-8.66e+6, acc=1, steps=1, eff=1]
Iter: 7it [00:44,  5.38s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-9.09e+6, acc=1, steps=1, eff=1]
Iter: 8it [00:44,  5.32s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-9.09e+6, acc=1, steps=1, eff=1]
Iter: 8it [00:49,  5.32s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-4.2e+6, acc=1, steps=1, eff=1] 
Iter: 9it [00:49,  5.36s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-4.2e+6, acc=1, steps=1, eff=1]
Iter: 9it [00:55,  5.36s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-5.04e+6, acc=1, steps=1, eff=1]
Iter: 10it [00:55,  5.47s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-5.04e+6, acc=1, steps=1, eff=1]
Iter: 10it [01:00,  5.47s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-6.12e+6, acc=1, steps=1, eff=1]
Iter: 11it [01:00,  5.34s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-6.12e+6, acc=1, steps=1, eff=1]
Iter: 11it [01:05,  5.34s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-2.4e+7, acc=1, steps=1, eff=1] 
Iter: 12it [01:05,  5.28s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-2.4e+7, acc=1, steps=1, eff=1]
Iter: 12it [01:10,  5.28s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-1.48e+7, acc=1, steps=1, eff=1]
Iter: 13it [01:10,  5.30s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-1.48e+7, acc=1, steps=1, eff=1]
Iter: 13it [01:16,  5.30s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-4.98e+6, acc=1, steps=1, eff=1]
Iter: 14it [01:16,  5.29s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-4.98e+6, acc=1, steps=1, eff=1]
Iter: 14it [01:21,  5.29s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-7.9e+6, acc=1, steps=1, eff=1] 
Iter: 15it [01:21,  5.20s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-7.9e+6, acc=1, steps=1, eff=1]
Iter: 15it [01:26,  5.20s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-9.23e+6, acc=1, steps=1, eff=1]
Iter: 16it [01:26,  5.25s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-9.23e+6, acc=1, steps=1, eff=1]
Iter: 16it [01:31,  5.25s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-1.01e+7, acc=1, steps=1, eff=1]
Iter: 17it [01:31,  5.29s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-1.01e+7, acc=1, steps=1, eff=1]
Iter: 17it [01:37,  5.29s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-1.18e+7, acc=1, steps=1, eff=1]
Iter: 18it [01:37,  5.34s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-1.18e+7, acc=1, steps=1, eff=1]
Iter: 18it [01:42,  5.34s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-2.87e+6, acc=1, steps=1, eff=1]
Iter: 19it [01:42,  5.24s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-2.87e+6, acc=1, steps=1, eff=1]
