====
Starting job 9794270 at Thu  5 Mar 11:46:48 GMT 2026 for user dc-guan2.
Running on nodes: m8178
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow_reparam.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
0: pk0_box_phmean
2: pk2_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.0029508312543233234
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-03-05 11:46:52.974661 with 72 CPUs. 


Iter: 0it [00:00, ?it/s]
Iter: 0it [00:00, ?it/s, beta=0, calls=0, ESS=4000, logZ=0, logP=0, acc=0, steps=0, eff=0]
Iter: 0it [00:07, ?it/s, beta=0, calls=256, ESS=4000, logZ=0, logP=-8.15e+9, acc=1, steps=1, eff=1]
Iter: 1it [00:07,  7.77s/it, beta=0, calls=256, ESS=4000, logZ=0, logP=-8.15e+9, acc=1, steps=1, eff=1]
Iter: 1it [00:14,  7.77s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-9.53e+9, acc=1, steps=1, eff=1]
Iter: 2it [00:14,  6.91s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-9.53e+9, acc=1, steps=1, eff=1]
Iter: 2it [00:20,  6.91s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-7.98e+9, acc=1, steps=1, eff=1]
Iter: 3it [00:20,  6.82s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-7.98e+9, acc=1, steps=1, eff=1]
Iter: 3it [00:26,  6.82s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-9.37e+9, acc=1, steps=1, eff=1]
Iter: 4it [00:26,  6.47s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-9.37e+9, acc=1, steps=1, eff=1]
Iter: 4it [00:33,  6.47s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-7.13e+9, acc=1, steps=1, eff=1]
Iter: 5it [00:33,  6.57s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-7.13e+9, acc=1, steps=1, eff=1]
Iter: 5it [00:39,  6.57s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-9.34e+9, acc=1, steps=1, eff=1]
Iter: 6it [00:39,  6.37s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-9.34e+9, acc=1, steps=1, eff=1]
Iter: 6it [00:46,  6.37s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-8.18e+9, acc=1, steps=1, eff=1]
Iter: 7it [00:46,  6.47s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-8.18e+9, acc=1, steps=1, eff=1]
Iter: 7it [00:52,  6.47s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-9.18e+9, acc=1, steps=1, eff=1]
Iter: 8it [00:52,  6.54s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-9.18e+9, acc=1, steps=1, eff=1]
Iter: 8it [00:59,  6.54s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-8.88e+9, acc=1, steps=1, eff=1]
Iter: 9it [00:59,  6.47s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-8.88e+9, acc=1, steps=1, eff=1]
Iter: 9it [01:06,  6.47s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-1.14e+10, acc=1, steps=1, eff=1]
Iter: 10it [01:06,  6.75s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-1.14e+10, acc=1, steps=1, eff=1]
Iter: 10it [01:12,  6.75s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-8.98e+9, acc=1, steps=1, eff=1] 
Iter: 11it [01:12,  6.58s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-8.98e+9, acc=1, steps=1, eff=1]
Iter: 11it [01:19,  6.58s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-7.91e+9, acc=1, steps=1, eff=1]
Iter: 12it [01:19,  6.69s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-7.91e+9, acc=1, steps=1, eff=1]
Iter: 12it [01:26,  6.69s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-1.04e+10, acc=1, steps=1, eff=1]
Iter: 13it [01:26,  6.64s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-1.04e+10, acc=1, steps=1, eff=1]
Iter: 13it [01:32,  6.64s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-8.1e+9, acc=1, steps=1, eff=1]  
Iter: 14it [01:32,  6.58s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-8.1e+9, acc=1, steps=1, eff=1]
Iter: 14it [01:39,  6.58s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-9.98e+9, acc=1, steps=1, eff=1]
Iter: 15it [01:39,  6.69s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-9.98e+9, acc=1, steps=1, eff=1]
Iter: 15it [01:46,  6.69s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-7.89e+9, acc=1, steps=1, eff=1]
Iter: 16it [01:46,  6.70s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-7.89e+9, acc=1, steps=1, eff=1]
Iter: 16it [01:52,  6.70s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-8.37e+9, acc=1, steps=1, eff=1]
Iter: 17it [01:52,  6.66s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-8.37e+9, acc=1, steps=1, eff=1]
Iter: 17it [01:59,  6.66s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-9.11e+9, acc=1, steps=1, eff=1]
Iter: 18it [01:59,  6.54s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-9.11e+9, acc=1, steps=1, eff=1]
Iter: 18it [02:05,  6.54s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-8.08e+9, acc=1, steps=1, eff=1]
Iter: 19it [02:05,  6.55s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-8.08e+9, acc=1, steps=1, eff=1]
Iter: 19it [02:12,  6.55s/it, beta=0, calls=5120, ESS=4000, logZ=0, logP=-9.61e+9, acc=1, steps=1, eff=1]
Iter: 20it [02:12,  6.52s/it, beta=0, calls=5120, ESS=4000, logZ=0, logP=-9.61e+9, acc=1, steps=1, eff=1]
Iter: 20it [02:18,  6.52s/it, beta=0, calls=5376, ESS=4000, logZ=0, logP=-8.25e+9, acc=1, steps=1, eff=1]
Iter: 21it [02:18,  6.59s/it, beta=0, calls=5376, ESS=4000, logZ=0, logP=-8.25e+9, acc=1, steps=1, eff=1]
Iter: 21it [02:25,  6.59s/it, beta=0, calls=5632, ESS=4000, logZ=0, logP=-7.92e+9, acc=1, steps=1, eff=1]
Iter: 22it [02:25,  6.52s/it, beta=0, calls=5632, ESS=4000, logZ=0, logP=-7.92e+9, acc=1, steps=1, eff=1]
Iter: 22it [02:31,  6.52s/it, beta=0, calls=5888, ESS=4000, logZ=0, logP=-6.47e+9, acc=1, steps=1, eff=1]
Iter: 23it [02:31,  6.44s/it, beta=0, calls=5888, ESS=4000, logZ=0, logP=-6.47e+9, acc=1, steps=1, eff=1]
Iter: 23it [02:37,  6.44s/it, beta=0, calls=6144, ESS=4000, logZ=0, logP=-8.33e+9, acc=1, steps=1, eff=1]
Iter: 24it [02:37,  6.40s/it, beta=0, calls=6144, ESS=4000, logZ=0, logP=-8.33e+9, acc=1, steps=1, eff=1]
Iter: 24it [02:44,  6.40s/it, beta=0, calls=6400, ESS=4000, logZ=0, logP=-9.26e+9, acc=1, steps=1, eff=1]
Iter: 25it [02:44,  6.37s/it, beta=0, calls=6400, ESS=4000, logZ=0, logP=-9.26e+9, acc=1, steps=1, eff=1]Saving PMC state to /cosma/home/dp322/dc-guan2/folps/pipeline/results/LRG/z0.8/p0p2b0_noresc_ch=0_APpriors_newest_25.state

Iter: 25it [02:50,  6.37s/it, beta=0, calls=6656, ESS=4000, logZ=0, logP=-9.85e+9, acc=1, steps=1, eff=1]
Iter: 26it [02:50,  6.32s/it, beta=0, calls=6656, ESS=4000, logZ=0, logP=-9.85e+9, acc=1, steps=1, eff=1]
Iter: 26it [02:56,  6.32s/it, beta=0, calls=6912, ESS=4000, logZ=0, logP=-9.75e+9, acc=1, steps=1, eff=1]
Iter: 27it [02:56,  6.34s/it, beta=0, calls=6912, ESS=4000, logZ=0, logP=-9.75e+9, acc=1, steps=1, eff=1]
Iter: 27it [03:03,  6.34s/it, beta=0, calls=7168, ESS=4000, logZ=0, logP=-7.76e+9, acc=1, steps=1, eff=1]
Iter: 28it [03:03,  6.47s/it, beta=0, calls=7168, ESS=4000, logZ=0, logP=-7.76e+9, acc=1, steps=1, eff=1]
Iter: 28it [03:09,  6.47s/it, beta=0, calls=7424, ESS=4000, logZ=0, logP=-8.86e+9, acc=1, steps=1, eff=1]
Iter: 29it [03:09,  6.48s/it, beta=0, calls=7424, ESS=4000, logZ=0, logP=-8.86e+9, acc=1, steps=1, eff=1]
Iter: 29it [03:16,  6.48s/it, beta=0, calls=7680, ESS=4000, logZ=0, logP=-8.34e+9, acc=1, steps=1, eff=1]
Iter: 30it [03:16,  6.56s/it, beta=0, calls=7680, ESS=4000, logZ=0, logP=-8.34e+9, acc=1, steps=1, eff=1]
Iter: 31it [03:16,  6.56s/it, beta=3.49e-10, calls=7680, ESS=3992, logZ=-0.955, logP=-8.34e+9, acc=1, steps=1, eff=1]
Iter: 31it [03:48,  6.56s/it, beta=3.49e-10, calls=7936, ESS=3992, logZ=-0.955, logP=-1.25e+9, acc=0.595, steps=1, eff=1]
Iter: 31it [03:56,  6.56s/it, beta=3.49e-10, calls=8192, ESS=3992, logZ=-0.955, logP=-1.33e+9, acc=0.478, steps=2, eff=1]
Iter: 31it [04:05,  6.56s/it, beta=3.49e-10, calls=8448, ESS=3992, logZ=-0.955, logP=-1.25e+9, acc=0.463, steps=3, eff=1]
Iter: 31it [04:13,  6.56s/it, beta=3.49e-10, calls=8704, ESS=3992, logZ=-0.955, logP=-1.24e+9, acc=0.468, steps=4, eff=1]
Iter: 31it [04:22,  6.56s/it, beta=3.49e-10, calls=8960, ESS=3992, logZ=-0.955, logP=-1.28e+9, acc=0.46, steps=5, eff=1] 
Iter: 31it [04:31,  6.56s/it, beta=3.49e-10, calls=9216, ESS=3992, logZ=-0.955, logP=-1.36e+9, acc=0.446, steps=6, eff=1]
Iter: 31it [04:39,  6.56s/it, beta=3.49e-10, calls=9472, ESS=3992, logZ=-0.955, logP=-1.13e+9, acc=0.47, steps=7, eff=1] 
Iter: 31it [04:48,  6.56s/it, beta=3.49e-10, calls=9728, ESS=3992, logZ=-0.955, logP=-1.16e+9, acc=0.423, steps=8, eff=1]
Iter: 31it [04:57,  6.56s/it, beta=3.49e-10, calls=9984, ESS=3992, logZ=-0.955, logP=-1.16e+9, acc=0.471, steps=9, eff=1]
