====
Starting job 9843794 at Wed 11 Mar 15:18:55 GMT 2026 for user dc-guan2.
Running on nodes: m8273
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2_LRG2_nowindow_AP.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/folps/pipeline/data/mocks/LRG/boxes/z0.8.
2: pk2_box_phmean
0: pk0_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.00807815392812093
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-03-11 15:19:00.413564 with 72 CPUs. 


Iter: 0it [00:00, ?it/s]
Iter: 0it [00:00, ?it/s, beta=0, calls=0, ESS=4000, logZ=0, logP=0, acc=0, steps=0, eff=0]
Iter: 0it [00:02, ?it/s, beta=0, calls=256, ESS=4000, logZ=0, logP=-9.65e+9, acc=1, steps=1, eff=1]
Iter: 1it [00:02,  2.16s/it, beta=0, calls=256, ESS=4000, logZ=0, logP=-9.65e+9, acc=1, steps=1, eff=1]
Iter: 1it [00:02,  2.16s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-7.39e+9, acc=1, steps=1, eff=1]
Iter: 2it [00:02,  1.35s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-7.39e+9, acc=1, steps=1, eff=1]
Iter: 2it [00:03,  1.35s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-8.64e+9, acc=1, steps=1, eff=1]
Iter: 3it [00:03,  1.09s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-8.64e+9, acc=1, steps=1, eff=1]
Iter: 3it [00:04,  1.09s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-7.95e+9, acc=1, steps=1, eff=1]
Iter: 4it [00:04,  1.06it/s, beta=0, calls=1024, ESS=4000, logZ=0, logP=-7.95e+9, acc=1, steps=1, eff=1]
Iter: 4it [00:05,  1.06it/s, beta=0, calls=1280, ESS=4000, logZ=0, logP=-9.47e+9, acc=1, steps=1, eff=1]
Iter: 5it [00:05,  1.13it/s, beta=0, calls=1280, ESS=4000, logZ=0, logP=-9.47e+9, acc=1, steps=1, eff=1]
Iter: 5it [00:06,  1.13it/s, beta=0, calls=1536, ESS=4000, logZ=0, logP=-1.16e+10, acc=1, steps=1, eff=1]
Iter: 6it [00:06,  1.18it/s, beta=0, calls=1536, ESS=4000, logZ=0, logP=-1.16e+10, acc=1, steps=1, eff=1]
Iter: 6it [00:06,  1.18it/s, beta=0, calls=1792, ESS=4000, logZ=0, logP=-7.17e+9, acc=1, steps=1, eff=1] 
Iter: 7it [00:06,  1.25it/s, beta=0, calls=1792, ESS=4000, logZ=0, logP=-7.17e+9, acc=1, steps=1, eff=1]
Iter: 7it [00:07,  1.25it/s, beta=0, calls=2048, ESS=4000, logZ=0, logP=-8.37e+9, acc=1, steps=1, eff=1]
Iter: 8it [00:07,  1.26it/s, beta=0, calls=2048, ESS=4000, logZ=0, logP=-8.37e+9, acc=1, steps=1, eff=1]
Iter: 8it [00:08,  1.26it/s, beta=0, calls=2304, ESS=4000, logZ=0, logP=-9.52e+9, acc=1, steps=1, eff=1]
Iter: 9it [00:08,  1.27it/s, beta=0, calls=2304, ESS=4000, logZ=0, logP=-9.52e+9, acc=1, steps=1, eff=1]
Iter: 9it [00:08,  1.27it/s, beta=0, calls=2560, ESS=4000, logZ=0, logP=-8.27e+9, acc=1, steps=1, eff=1]
Iter: 10it [00:08,  1.35it/s, beta=0, calls=2560, ESS=4000, logZ=0, logP=-8.27e+9, acc=1, steps=1, eff=1]
Iter: 10it [00:09,  1.35it/s, beta=0, calls=2816, ESS=4000, logZ=0, logP=-9.18e+9, acc=1, steps=1, eff=1]
Iter: 11it [00:09,  1.38it/s, beta=0, calls=2816, ESS=4000, logZ=0, logP=-9.18e+9, acc=1, steps=1, eff=1]
Iter: 11it [00:10,  1.38it/s, beta=0, calls=3072, ESS=4000, logZ=0, logP=-8.22e+9, acc=1, steps=1, eff=1]
Iter: 12it [00:10,  1.42it/s, beta=0, calls=3072, ESS=4000, logZ=0, logP=-8.22e+9, acc=1, steps=1, eff=1]
Iter: 12it [00:10,  1.42it/s, beta=0, calls=3328, ESS=4000, logZ=0, logP=-1.03e+10, acc=1, steps=1, eff=1]
Iter: 13it [00:10,  1.41it/s, beta=0, calls=3328, ESS=4000, logZ=0, logP=-1.03e+10, acc=1, steps=1, eff=1]
Iter: 13it [00:11,  1.41it/s, beta=0, calls=3584, ESS=4000, logZ=0, logP=-8.91e+9, acc=1, steps=1, eff=1] 
Iter: 14it [00:11,  1.37it/s, beta=0, calls=3584, ESS=4000, logZ=0, logP=-8.91e+9, acc=1, steps=1, eff=1]
Iter: 14it [00:12,  1.37it/s, beta=0, calls=3840, ESS=4000, logZ=0, logP=-1.08e+10, acc=1, steps=1, eff=1]
Iter: 15it [00:12,  1.38it/s, beta=0, calls=3840, ESS=4000, logZ=0, logP=-1.08e+10, acc=1, steps=1, eff=1]
Iter: 15it [00:13,  1.38it/s, beta=0, calls=4096, ESS=4000, logZ=0, logP=-9.4e+9, acc=1, steps=1, eff=1]  
Iter: 16it [00:13,  1.39it/s, beta=0, calls=4096, ESS=4000, logZ=0, logP=-9.4e+9, acc=1, steps=1, eff=1]
Iter: 16it [00:13,  1.39it/s, beta=0, calls=4352, ESS=4000, logZ=0, logP=-9.21e+9, acc=1, steps=1, eff=1]
